Year,GDP(Bil. US$PPP),GDP per capita,GDP(Bil. US$nominal),GDP per capita(US$ nominal),GDP growth(Real),Inflation rate(Percent),Unemployment[182](Percent),Government debt( of GDP)
1980,372.3,532.6,189.4,271.0,5.3,11.3,,
1981,432.0,603.8,196.5,274.7,6.0,12.7,,
1982,474.6,648.2,203.5,278.0,3.5,7.7,,
1983,529.1,706.1,222.0,296.3,7.3,12.6,,
1984,569.2,742.3,215.6,281.1,3.8,6.5,,
1985,618.0,788.0,237.6,302.9,5.3,6.3,,
1986,660.6,823.7,252.8,315.2,4.8,8.9,,
1987,703.8,858.6,283.8,346.2,4.0,9.1,,
1988,798.8,953.8,299.6,357.8,9.6,7.2,,
1989,879.4,1028.2,301.2,352.2,5.9,4.6,,
1990,962.8,1102.6,326.6,374.0,5.5,11.2,,
1991,1005.9,1128.6,274.8,308.4,1.1,13.5,5.6,75.3
1992,1085.3,1193.5,293.3,322.5,5.5,9.9,5.7,77.4
1993,1163.7,1254.8,284.2,306.4,4.8,7.3,5.7,77.0
1994,1267.7,1340.7,333.0,352.2,6.7,10.3,5.7,73.5
1995,1392.4,1444.5,366.6,380.3,7.6,10.0,5.8,69.7
1996,1524.9,1552.3,399.8,407.0,7.6,9.4,5.7,66.0
1997,1614.0,1612.6,423.2,422.8,4.1,6.8,5.6,67.8
1998,1733.1,1700.0,428.8,420.6,6.2,13.1,5.7,68.1
1999,1906.9,1837.0,466.8,449.7,8.5,5.7,5.7,70.0
2000,2027.1,1918.5,476.6,451.1,4.0,3.8,5.6,73.6
2001,2173.9,2022.3,493.9,459.5,4.9,4.3,5.6,78.7
2002,2294.6,2098.8,523.8,479.1,3.9,4.0,5.5,82.9
2003,2522.9,2269.8,618.4,556.3,7.9,3.9,5.6,84.2
2004,2794.2,2473.5,721.6,638.8,7.8,3.8,5.6,83.3
2005,3148.7,2743.7,834.2,726.9,9.3,4.4,5.6,80.9
2006,3544.5,3041.2,949.1,814.4,9.3,6.7,5.6,77.1
2007,3996.5,3377.7,1238.7,1046.9,9.8,6.2,5.6,74.0
2008,4232.7,3525.3,1224.1,1019.5,3.9,9.1,5.4,72.7
2009,4626.7,3799.4,1365.4,1121.2,8.5,12.3,5.5,71.1
2010,5160.8,4181.2,1708.5,1384.2,10.3,10.5,5.5,66.0
2011,5618.4,4493.7,1823.1,1458.1,6.6,9.5,5.4,68.3
2012,6153.2,4861.1,1827.6,1443.9,5.5,10.0,5.4,67.7
2013,6477.5,5057.2,1856.7,1449.6,6.4,9.4,5.4,67.4
2014,6781.0,5233.9,2039.1,1573.9,7.4,5.8,5.4,66.8
2015,7159.8,5464.9,2103.6,1605.6,8.0,4.9,5.4,68.8
2016,7735.0,5839.9,2294.1,1732.1,8.3,4.5,5.4,68.7
2017,8276.9,6182.9,2651.5,1980.7,6.8,3.6,5.4,69.5
2018,9021.6,6669.6,2702.9,1998.3,6.5,3.4,5.3,70.2
2019,9526.2,6965.5,2831.6,2070.4,4.0,4.8,5.3,73.9
2020,9005.1,6532.0,2667.7,1935.0,-8.0,6.2,8.0,89.6
2021,10218.6,7340.9,3177.9,2283.0,12.5,4.9,,86.6
2022,11745.3,8358.3,3534.7,2515.4,6.9,4.1,,86.3
2023,12931.9,9118.3,3893.7,2745.4,6.8,3.9,,85.7
2024,14176.3,9906.4,4270.8,2984.4,6.7,4.0,,84.8
2025,15485.2,10727.1,4681.9,3243.3,6.6,4.0,,83.8
2026,16822.2,11554.9,5100.7,3503.6,6.5,4.0,,82.6
